"Jahr","Skname","Anz_BP_SK","Anz_Kinder_VA","Belegungsfaktor","Versorgungsquote"
2016,"Zürichberg",1969.5,2826,1.75,1.2196
2017,"Glattal",1624,4523.8,1.77,0.6354
2017,"Letzi",1254,3139.8,1.77,0.7069
2017,"Limmattal",1480,3163.9,1.77,0.8280
2017,"Schwamendingen",658.5,2053.6,1.77,0.5676
2017,"Uto",1473.5,3986.8,1.77,0.6542
2017,"Waidberg",1697,4123.4,1.77,0.7284
2017,"Zürichberg",2144,2880,1.77,1.3177
2017,"Gesamte Stadt",10331,23871.3,1.77,0.7660
2017,"Gesamte Stadt ohne Züriberg",8187,20991.3,1.77,0.6903
2018,"Glattal",1706,4541,1.79,0.6725
2018,"Letzi",1215.5,3161,1.79,0.6883
2018,"Limmattal",1551,3083,1.79,0.9005
2018,"Schwamendingen",657,2062,1.79,0.5703
2018,"Uto",1727.5,4117,1.79,0.7511
2018,"Waidberg",1822,4250,1.79,0.7674
2018,"Zürichberg",2181,2945,1.79,1.3256
2018,"Gesamte Stadt",10860,24159,1.79,0.8046
2018,"Gesamte Stadt ohne Züriberg",8679,21214,1.79,0.7323

