"StichtagDatJahr","QuarSort","QuarLang","KreisSort","KreisLang","HHtypSort","HHtypLang","AnzHH","AnzBestWir"
2013,42,"Langstrasse",4,"Kreis 4",14,"Generationenhaushalt",18,97
2013,44,"Hard",4,"Kreis 4",1,"Einpersonenhaushalt",2922,2922
2013,44,"Hard",4,"Kreis 4",4,"Zweipersonenhaushalt",1095,2190
2013,44,"Hard",4,"Kreis 4",5,"Ehepaar ohne Kinder",594,1188
2013,44,"Hard",4,"Kreis 4",6,"Eingetragenes Paar ohne Kinder",13,26
2013,44,"Hard",4,"Kreis 4",7,"Ein-Elternhaushalt",319,761
2013,44,"Hard",4,"Kreis 4",8,"Ehepaar mit Kinder",821,3045
2013,44,"Hard",4,"Kreis 4",10,"Paar mit Kindern",85,286
2013,44,"Hard",4,"Kreis 4",11,"Patchwork-Haushalt",41,133
2013,44,"Hard",4,"Kreis 4",12,"Wohngemeinschaft ohne Kinder",432,1467
2013,44,"Hard",4,"Kreis 4",13,"Wohngemeinschaft mit Kindern",123,605
2013,44,"Hard",4,"Kreis 4",14,"Generationenhaushalt",43,202
2013,51,"Gewerbeschule",5,"Kreis 5",1,"Einpersonenhaushalt",2328,2328
2013,51,"Gewerbeschule",5,"Kreis 5",4,"Zweipersonenhaushalt",865,1730
2013,51,"Gewerbeschule",5,"Kreis 5",5,"Ehepaar ohne Kinder",398,796
2013,51,"Gewerbeschule",5,"Kreis 5",6,"Eingetragenes Paar ohne Kinder",26,52
2013,51,"Gewerbeschule",5,"Kreis 5",7,"Ein-Elternhaushalt",154,363
2013,51,"Gewerbeschule",5,"Kreis 5",8,"Ehepaar mit Kinder",406,1547
2013,51,"Gewerbeschule",5,"Kreis 5",10,"Paar mit Kindern",110,392
2013,51,"Gewerbeschule",5,"Kreis 5",11,"Patchwork-Haushalt",21,68
2013,51,"Gewerbeschule",5,"Kreis 5",12,"Wohngemeinschaft ohne Kinder",316,1098
2013,51,"Gewerbeschule",5,"Kreis 5",13,"Wohngemeinschaft mit Kindern",49,246
2013,51,"Gewerbeschule",5,"Kreis 5",14,"Generationenhaushalt",39,212
2013,52,"Escher Wyss",5,"Kreis 5",1,"Einpersonenhaushalt",785,785
2013,52,"Escher Wyss",5,"Kreis 5",4,"Zweipersonenhaushalt",456,912
2013,52,"Escher Wyss",5,"Kreis 5",5,"Ehepaar ohne Kinder",188,376
2013,52,"Escher Wyss",5,"Kreis 5",6,"Eingetragenes Paar ohne Kinder",28,56
2013,52,"Escher Wyss",5,"Kreis 5",7,"Ein-Elternhaushalt",59,145
2013,52,"Escher Wyss",5,"Kreis 5",8,"Ehepaar mit Kinder",157,575
2013,52,"Escher Wyss",5,"Kreis 5",9,"Eingetragenes Paar mit Kinder",1,3
2013,52,"Escher Wyss",5,"Kreis 5",10,"Paar mit Kindern",48,161
2013,52,"Escher Wyss",5,"Kreis 5",11,"Patchwork-Haushalt",15,48
2013,52,"Escher Wyss",5,"Kreis 5",12,"Wohngemeinschaft ohne Kinder",187,629
2013,52,"Escher Wyss",5,"Kreis 5",13,"Wohngemeinschaft mit Kindern",38,214
2013,52,"Escher Wyss",5,"Kreis 5",14,"Generationenhaushalt",7,40
2013,61,"Unterstrass",6,"Kreis 6",1,"Einpersonenhaushalt",4836,4836
2013,61,"Unterstrass",6,"Kreis 6",4,"Zweipersonenhaushalt",1721,3442
2013,61,"Unterstrass",6,"Kreis 6",5,"Ehepaar ohne Kinder",1192,2384
2013,61,"Unterstrass",6,"Kreis 6",6,"Eingetragenes Paar ohne Kinder",36,72
2013,61,"Unterstrass",6,"Kreis 6",7,"Ein-Elternhaushalt",493,1180
2013,61,"Unterstrass",6,"Kreis 6",8,"Ehepaar mit Kinder",1352,5187
2013,61,"Unterstrass",6,"Kreis 6",9,"Eingetragenes Paar mit Kinder",2,6
2013,61,"Unterstrass",6,"Kreis 6",10,"Paar mit Kindern",237,839
2013,61,"Unterstrass",6,"Kreis 6",11,"Patchwork-Haushalt",53,172
2013,61,"Unterstrass",6,"Kreis 6",12,"Wohngemeinschaft ohne Kinder",609,2078
2013,61,"Unterstrass",6,"Kreis 6",13,"Wohngemeinschaft mit Kindern",179,933
2013,61,"Unterstrass",6,"Kreis 6",14,"Generationenhaushalt",25,120
2013,63,"Oberstrass",6,"Kreis 6",1,"Einpersonenhaushalt",2258,2258
2013,63,"Oberstrass",6,"Kreis 6",4,"Zweipersonenhaushalt",709,1418
2013,63,"Oberstrass",6,"Kreis 6",5,"Ehepaar ohne Kinder",586,1172
2013,63,"Oberstrass",6,"Kreis 6",6,"Eingetragenes Paar ohne Kinder",13,26
2013,63,"Oberstrass",6,"Kreis 6",7,"Ein-Elternhaushalt",161,391
2013,63,"Oberstrass",6,"Kreis 6",8,"Ehepaar mit Kinder",648,2439
2013,63,"Oberstrass",6,"Kreis 6",10,"Paar mit Kindern",107,374
2013,63,"Oberstrass",6,"Kreis 6",11,"Patchwork-Haushalt",26,83
2013,63,"Oberstrass",6,"Kreis 6",12,"Wohngemeinschaft ohne Kinder",278,985
2013,63,"Oberstrass",6,"Kreis 6",13,"Wohngemeinschaft mit Kindern",95,501
2013,63,"Oberstrass",6,"Kreis 6",14,"Generationenhaushalt",15,74
2013,71,"Fluntern",7,"Kreis 7",1,"Einpersonenhaushalt",1404,1404
2013,71,"Fluntern",7,"Kreis 7",4,"Zweipersonenhaushalt",388,776
2013,71,"Fluntern",7,"Kreis 7",5,"Ehepaar ohne Kinder",590,1180
2013,71,"Fluntern",7,"Kreis 7",6,"Eingetragenes Paar ohne Kinder",20,40
2013,71,"Fluntern",7,"Kreis 7",7,"Ein-Elternhaushalt",129,314
2013,71,"Fluntern",7,"Kreis 7",8,"Ehepaar mit Kinder",527,2003
2013,71,"Fluntern",7,"Kreis 7",9,"Eingetragenes Paar mit Kinder",1,5
2013,71,"Fluntern",7,"Kreis 7",10,"Paar mit Kindern",61,214
2013,71,"Fluntern",7,"Kreis 7",11,"Patchwork-Haushalt",22,74
2013,71,"Fluntern",7,"Kreis 7",12,"Wohngemeinschaft ohne Kinder",190,686
2013,71,"Fluntern",7,"Kreis 7",13,"Wohngemeinschaft mit Kindern",75,404
2013,71,"Fluntern",7,"Kreis 7",14,"Generationenhaushalt",8,39
2013,71,"Fluntern",7,"Kreis 7",15,"Familien-Verbund",1,4
2013,72,"Hottingen",7,"Kreis 7",1,"Einpersonenhaushalt",2376,2376
2013,72,"Hottingen",7,"Kreis 7",4,"Zweipersonenhaushalt",683,1366
2013,72,"Hottingen",7,"Kreis 7",5,"Ehepaar ohne Kinder",630,1260
2013,72,"Hottingen",7,"Kreis 7",6,"Eingetragenes Paar ohne Kinder",20,40
2013,72,"Hottingen",7,"Kreis 7",7,"Ein-Elternhaushalt",200,474
2013,72,"Hottingen",7,"Kreis 7",8,"Ehepaar mit Kinder",695,2608
2013,72,"Hottingen",7,"Kreis 7",9,"Eingetragenes Paar mit Kinder",1,3
2013,72,"Hottingen",7,"Kreis 7",10,"Paar mit Kindern",93,328
2013,72,"Hottingen",7,"Kreis 7",11,"Patchwork-Haushalt",27,91
2013,72,"Hottingen",7,"Kreis 7",12,"Wohngemeinschaft ohne Kinder",245,867
2013,72,"Hottingen",7,"Kreis 7",13,"Wohngemeinschaft mit Kindern",114,589
2013,72,"Hottingen",7,"Kreis 7",14,"Generationenhaushalt",7,37
2013,72,"Hottingen",7,"Kreis 7",15,"Familien-Verbund",1,4
2013,73,"Hirslanden",7,"Kreis 7",1,"Einpersonenhaushalt",1644,1644
2013,73,"Hirslanden",7,"Kreis 7",4,"Zweipersonenhaushalt",504,1008
2013,73,"Hirslanden",7,"Kreis 7",5,"Ehepaar ohne Kinder",438,876
2013,73,"Hirslanden",7,"Kreis 7",6,"Eingetragenes Paar ohne Kinder",16,32
2013,73,"Hirslanden",7,"Kreis 7",7,"Ein-Elternhaushalt",126,289
2013,73,"Hirslanden",7,"Kreis 7",8,"Ehepaar mit Kinder",466,1705
2013,73,"Hirslanden",7,"Kreis 7",10,"Paar mit Kindern",71,251
2013,73,"Hirslanden",7,"Kreis 7",11,"Patchwork-Haushalt",23,78
2013,73,"Hirslanden",7,"Kreis 7",12,"Wohngemeinschaft ohne Kinder",158,547
2013,73,"Hirslanden",7,"Kreis 7",13,"Wohngemeinschaft mit Kindern",68,364
2013,73,"Hirslanden",7,"Kreis 7",14,"Generationenhaushalt",9,46
2013,74,"Witikon",7,"Kreis 7",1,"Einpersonenhaushalt",2073,2073
2013,74,"Witikon",7,"Kreis 7",4,"Zweipersonenhaushalt",493,986
2013,74,"Witikon",7,"Kreis 7",5,"Ehepaar ohne Kinder",912,1824
2013,74,"Witikon",7,"Kreis 7",6,"Eingetragenes Paar ohne Kinder",10,20
2013,74,"Witikon",7,"Kreis 7",7,"Ein-Elternhaushalt",238,575
2013,74,"Witikon",7,"Kreis 7",8,"Ehepaar mit Kinder",762,2856
2013,74,"Witikon",7,"Kreis 7",10,"Paar mit Kindern",67,235
2013,74,"Witikon",7,"Kreis 7",11,"Patchwork-Haushalt",15,47
2013,74,"Witikon",7,"Kreis 7",12,"Wohngemeinschaft ohne Kinder",179,621
2013,74,"Witikon",7,"Kreis 7",13,"Wohngemeinschaft mit Kindern",90,500
2013,74,"Witikon",7,"Kreis 7",14,"Generationenhaushalt",7,29
2013,74,"Witikon",7,"Kreis 7",15,"Familien-Verbund",1,4
2013,81,"Seefeld",8,"Kreis 8",1,"Einpersonenhaushalt",1702,1702
2013,81,"Seefeld",8,"Kreis 8",4,"Zweipersonenhaushalt",438,876
2013,81,"Seefeld",8,"Kreis 8",5,"Ehepaar ohne Kinder",272,544
2013,81,"Seefeld",8,"Kreis 8",6,"Eingetragenes Paar ohne Kinder",13,26
2013,81,"Seefeld",8,"Kreis 8",7,"Ein-Elternhaushalt",105,241
2013,81,"Seefeld",8,"Kreis 8",8,"Ehepaar mit Kinder",200,719
2013,81,"Seefeld",8,"Kreis 8",10,"Paar mit Kindern",35,120
2013,81,"Seefeld",8,"Kreis 8",11,"Patchwork-Haushalt",11,36
2013,81,"Seefeld",8,"Kreis 8",12,"Wohngemeinschaft ohne Kinder",140,469
2013,81,"Seefeld",8,"Kreis 8",13,"Wohngemeinschaft mit Kindern",37,175
2013,81,"Seefeld",8,"Kreis 8",14,"Generationenhaushalt",1,4
2013,82,"Mühlebach",8,"Kreis 8",1,"Einpersonenhaushalt",1666,1666
2013,82,"Mühlebach",8,"Kreis 8",4,"Zweipersonenhaushalt",447,894
2013,82,"Mühlebach",8,"Kreis 8",5,"Ehepaar ohne Kinder",317,634
2013,82,"Mühlebach",8,"Kreis 8",6,"Eingetragenes Paar ohne Kinder",9,18
2013,82,"Mühlebach",8,"Kreis 8",7,"Ein-Elternhaushalt",132,310
2013,82,"Mühlebach",8,"Kreis 8",8,"Ehepaar mit Kinder",293,1076
2013,82,"Mühlebach",8,"Kreis 8",10,"Paar mit Kindern",43,149
2013,82,"Mühlebach",8,"Kreis 8",11,"Patchwork-Haushalt",14,43
2013,82,"Mühlebach",8,"Kreis 8",12,"Wohngemeinschaft ohne Kinder",154,515
2013,82,"Mühlebach",8,"Kreis 8",13,"Wohngemeinschaft mit Kindern",42,241
2013,82,"Mühlebach",8,"Kreis 8",14,"Generationenhaushalt",6,23
2013,83,"Weinegg",8,"Kreis 8",1,"Einpersonenhaushalt",1173,1173
2013,83,"Weinegg",8,"Kreis 8",4,"Zweipersonenhaushalt",291,582
2013,83,"Weinegg",8,"Kreis 8",5,"Ehepaar ohne Kinder",294,588
2013,83,"Weinegg",8,"Kreis 8",6,"Eingetragenes Paar ohne Kinder",12,24
2013,83,"Weinegg",8,"Kreis 8",7,"Ein-Elternhaushalt",94,223
2013,83,"Weinegg",8,"Kreis 8",8,"Ehepaar mit Kinder",305,1151
2013,83,"Weinegg",8,"Kreis 8",9,"Eingetragenes Paar mit Kinder",1,3
2013,83,"Weinegg",8,"Kreis 8",10,"Paar mit Kindern",38,149
2013,83,"Weinegg",8,"Kreis 8",11,"Patchwork-Haushalt",17,55
2013,83,"Weinegg",8,"Kreis 8",12,"Wohngemeinschaft ohne Kinder",91,300
2013,83,"Weinegg",8,"Kreis 8",13,"Wohngemeinschaft mit Kindern",42,233
2013,91,"Albisrieden",9,"Kreis 9",1,"Einpersonenhaushalt",4386,4386
2013,91,"Albisrieden",9,"Kreis 9",4,"Zweipersonenhaushalt",1214,2428
2013,91,"Albisrieden",9,"Kreis 9",5,"Ehepaar ohne Kinder",1474,2948
2013,91,"Albisrieden",9,"Kreis 9",6,"Eingetragenes Paar ohne Kinder",32,64
2013,91,"Albisrieden",9,"Kreis 9",7,"Ein-Elternhaushalt",411,952
2013,91,"Albisrieden",9,"Kreis 9",8,"Ehepaar mit Kinder",1339,4924
2013,91,"Albisrieden",9,"Kreis 9",9,"Eingetragenes Paar mit Kinder",3,9
2013,91,"Albisrieden",9,"Kreis 9",10,"Paar mit Kindern",182,633
2013,91,"Albisrieden",9,"Kreis 9",11,"Patchwork-Haushalt",46,146
2013,91,"Albisrieden",9,"Kreis 9",12,"Wohngemeinschaft ohne Kinder",342,1168
2013,91,"Albisrieden",9,"Kreis 9",13,"Wohngemeinschaft mit Kindern",122,630
2013,91,"Albisrieden",9,"Kreis 9",14,"Generationenhaushalt",45,232
2013,92,"Altstetten",9,"Kreis 9",1,"Einpersonenhaushalt",6471,6471
2013,92,"Altstetten",9,"Kreis 9",4,"Zweipersonenhaushalt",1877,3754
2013,92,"Altstetten",9,"Kreis 9",5,"Ehepaar ohne Kinder",2168,4336
2013,92,"Altstetten",9,"Kreis 9",6,"Eingetragenes Paar ohne Kinder",45,90
2013,92,"Altstetten",9,"Kreis 9",7,"Ein-Elternhaushalt",681,1646
2013,92,"Altstetten",9,"Kreis 9",8,"Ehepaar mit Kinder",2260,8495
2013,92,"Altstetten",9,"Kreis 9",9,"Eingetragenes Paar mit Kinder",1,4
2013,92,"Altstetten",9,"Kreis 9",10,"Paar mit Kindern",176,604
2013,92,"Altstetten",9,"Kreis 9",11,"Patchwork-Haushalt",76,251
2013,92,"Altstetten",9,"Kreis 9",12,"Wohngemeinschaft ohne Kinder",688,2353
2013,92,"Altstetten",9,"Kreis 9",13,"Wohngemeinschaft mit Kindern",230,1209
2013,92,"Altstetten",9,"Kreis 9",14,"Generationenhaushalt",109,580
2013,101,"Höngg",10,"Kreis 10",1,"Einpersonenhaushalt",4404,4404
2013,101,"Höngg",10,"Kreis 10",4,"Zweipersonenhaushalt",1405,2810
2013,101,"Höngg",10,"Kreis 10",5,"Ehepaar ohne Kinder",1784,3568
2013,101,"Höngg",10,"Kreis 10",6,"Eingetragenes Paar ohne Kinder",39,78
2013,101,"Höngg",10,"Kreis 10",7,"Ein-Elternhaushalt",493,1173
2013,101,"Höngg",10,"Kreis 10",8,"Ehepaar mit Kinder",1538,5756
2013,101,"Höngg",10,"Kreis 10",10,"Paar mit Kindern",199,687
2013,101,"Höngg",10,"Kreis 10",11,"Patchwork-Haushalt",46,147
2013,101,"Höngg",10,"Kreis 10",12,"Wohngemeinschaft ohne Kinder",411,1458
2013,101,"Höngg",10,"Kreis 10",13,"Wohngemeinschaft mit Kindern",159,879
2013,101,"Höngg",10,"Kreis 10",14,"Generationenhaushalt",16,75
2013,102,"Wipkingen",10,"Kreis 10",1,"Einpersonenhaushalt",3968,3968
2013,102,"Wipkingen",10,"Kreis 10",4,"Zweipersonenhaushalt",1528,3056
2013,102,"Wipkingen",10,"Kreis 10",5,"Ehepaar ohne Kinder",749,1498
2013,102,"Wipkingen",10,"Kreis 10",6,"Eingetragenes Paar ohne Kinder",33,66
2013,102,"Wipkingen",10,"Kreis 10",7,"Ein-Elternhaushalt",323,748
2013,102,"Wipkingen",10,"Kreis 10",8,"Ehepaar mit Kinder",743,2689
2013,102,"Wipkingen",10,"Kreis 10",9,"Eingetragenes Paar mit Kinder",1,3
2013,102,"Wipkingen",10,"Kreis 10",10,"Paar mit Kindern",159,545
2013,102,"Wipkingen",10,"Kreis 10",11,"Patchwork-Haushalt",33,114
2013,102,"Wipkingen",10,"Kreis 10",12,"Wohngemeinschaft ohne Kinder",464,1601
2013,102,"Wipkingen",10,"Kreis 10",13,"Wohngemeinschaft mit Kindern",102,549
