"RaumNr","Raum","Oberthema","Zahl","Thema","Vergleichszahl","Vergleichstext","Bemerkungen"
520,"Escher Wyss","Stadtgebiet",0.4,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
610,"Unterstrass","Stadtgebiet",0.4,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
630,"Oberstrass","Stadtgebiet",38.8,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
710,"Fluntern","Stadtgebiet",25.2,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
720,"Hottingen","Stadtgebiet",47.6,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
730,"Hirslanden","Stadtgebiet",55.6,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
740,"Witikon","Stadtgebiet",41.9,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
810,"Seefeld","Stadtgebiet",0,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
820,"Mühlebach","Stadtgebiet",0,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
830,"Weinegg","Stadtgebiet",9.4,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
910,"Albisrieden","Stadtgebiet",40.7,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
920,"Altstetten","Stadtgebiet",22.7,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1010,"Höngg","Stadtgebiet",32.1,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1020,"Wipkingen","Stadtgebiet",24,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1110,"Affoltern","Stadtgebiet",15.2,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1150,"Oerlikon","Stadtgebiet",1.2,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1190,"Seebach","Stadtgebiet",9.6,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1210,"Saatlen","Stadtgebiet",3.6,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1220,"Schwamendingen-Mitte","Stadtgebiet",50.1,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1230,"Hirzenbach","Stadtgebiet",13.6,"Anteil der Waldfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
0,"Ganze Stadt","Stadtgebiet",5.6,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1,"Kreis 1","Stadtgebiet",13.7,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
2,"Kreis 2","Stadtgebiet",20.2,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
3,"Kreis 3","Stadtgebiet",0.9,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
4,"Kreis 4","Stadtgebiet",1.3,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
5,"Kreis 5","Stadtgebiet",5.7,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
6,"Kreis 6","Stadtgebiet",1,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
7,"Kreis 7","Stadtgebiet",0.4,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
8,"Kreis 8","Stadtgebiet",36.6,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
9,"Kreis 9","Stadtgebiet",1,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
10,"Kreis 10","Stadtgebiet",1.9,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
11,"Kreis 11","Stadtgebiet",1.4,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
12,"Kreis 12","Stadtgebiet",0.6,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
110,"Rathaus","Stadtgebiet",23,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
120,"Hochschulen","Stadtgebiet",21,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
130,"Lindenhof","Stadtgebiet",0,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
140,"City","Stadtgebiet",7,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
210,"Wollishofen","Stadtgebiet",28,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
230,"Leimbach","Stadtgebiet",0.3,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
240,"Enge","Stadtgebiet",25.9,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
310,"Alt-Wiedikon","Stadtgebiet",2.1,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
330,"Friesenberg","Stadtgebiet",0.7,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
340,"Sihlfeld","Stadtgebiet",0.5,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
410,"Werd","Stadtgebiet",5.8,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
420,"Langstrasse","Stadtgebiet",1.7,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
440,"Hard","Stadtgebiet",0,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
510,"Gewerbeschule","Stadtgebiet",6.5,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
520,"Escher Wyss","Stadtgebiet",5.2,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
610,"Unterstrass","Stadtgebiet",1.7,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
630,"Oberstrass","Stadtgebiet",0.3,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
710,"Fluntern","Stadtgebiet",0.1,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
720,"Hottingen","Stadtgebiet",0.3,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
730,"Hirslanden","Stadtgebiet",0.9,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
740,"Witikon","Stadtgebiet",0.4,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
810,"Seefeld","Stadtgebiet",72.3,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
820,"Mühlebach","Stadtgebiet",0.2,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
830,"Weinegg","Stadtgebiet",0.4,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
910,"Albisrieden","Stadtgebiet",0.3,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
920,"Altstetten","Stadtgebiet",1.4,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1010,"Höngg","Stadtgebiet",1.8,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1020,"Wipkingen","Stadtgebiet",2.4,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1110,"Affoltern","Stadtgebiet",3.1,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1150,"Oerlikon","Stadtgebiet",0,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1190,"Seebach","Stadtgebiet",0.1,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1210,"Saatlen","Stadtgebiet",0.8,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1220,"Schwamendingen-Mitte","Stadtgebiet",0.7,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
1230,"Hirzenbach","Stadtgebiet",0.4,"Anteil der Gewässerfläche in %",,"Keine Vergleichszahl","Datenquelle: Gebäude- und Wohnungsregister (2018)"
0,"Ganze Stadt","Stadtgebiet",1269,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
1,"Kreis 1","Stadtgebiet",149,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
2,"Kreis 2","Stadtgebiet",149,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
3,"Kreis 3","Stadtgebiet",123,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
4,"Kreis 4","Stadtgebiet",63,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
5,"Kreis 5","Stadtgebiet",33,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
6,"Kreis 6","Stadtgebiet",104,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
7,"Kreis 7","Stadtgebiet",157,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
8,"Kreis 8","Stadtgebiet",63,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
9,"Kreis 9","Stadtgebiet",116,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
10,"Kreis 10","Stadtgebiet",106,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
11,"Kreis 11","Stadtgebiet",140,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
12,"Kreis 12","Stadtgebiet",66,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
110,"Rathaus","Stadtgebiet",36,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
120,"Hochschulen","Stadtgebiet",45,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
130,"Lindenhof","Stadtgebiet",32,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
140,"City","Stadtgebiet",36,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
210,"Wollishofen","Stadtgebiet",68,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
230,"Leimbach","Stadtgebiet",27,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
240,"Enge","Stadtgebiet",54,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
310,"Alt-Wiedikon","Stadtgebiet",24,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
330,"Friesenberg","Stadtgebiet",48,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
340,"Sihlfeld","Stadtgebiet",51,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
410,"Werd","Stadtgebiet",9,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
420,"Langstrasse","Stadtgebiet",29,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
440,"Hard","Stadtgebiet",25,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
510,"Gewerbeschule","Stadtgebiet",22,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
520,"Escher Wyss","Stadtgebiet",11,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
610,"Unterstrass","Stadtgebiet",69,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
630,"Oberstrass","Stadtgebiet",35,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
710,"Fluntern","Stadtgebiet",49,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
720,"Hottingen","Stadtgebiet",51,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
730,"Hirslanden","Stadtgebiet",26,"Brunnen",,"Keine Vergleichszahl","Datenquelle: Departement der Industriellen Betriebe (laufende Nachführung)"
